 _word1 _word2 gaussian_0.3 gaussian_0.5 gaussian_0.7 normalize sparse_0.3 sparse_0.5 sparse_0.9
_word1 1.0 0.00017193079111166298 0.00017086041043512523 0.00017199081776198 0.00017171070794574916 -1.2806418681066134e-06 0.00017151063366327435 0.00017157066031359136 0.00017165069584734738
_word2 0.0 1.0 0.09529775381088257 0.08099397271871567 0.08099420368671417 -1.720863338050549e-06 0.09709906578063965 0.06548959016799927 0.038980405777692795
gaussian_0.3 0.0 0.0 1.0 0.08129192888736725 0.08119208365678787 -1.720863338050549e-06 0.1417107880115509 0.06548760831356049 0.039080217480659485
gaussian_0.5 0.0 0.0 0.0 1.0 0.2552463710308075 -1.720863338050549e-06 0.11530184745788574 0.12630507349967957 0.039079450070858
gaussian_0.7 0.0 0.0 0.0 0.0 1.0 -1.720863338050549e-06 0.11820313334465027 0.11510113626718521 0.039179280400276184
normalize 0.0 0.0 0.0 0.0 0.0 1.0 -1.720863338050549e-06 -1.720863338050549e-06 -1.720863338050549e-06
sparse_0.3 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.06558717787265778 0.03917962685227394
sparse_0.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.03917934000492096
sparse_0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
